net,station,orientation_ch1,orientation_ch2,error,Num_measurements
XO,LA23,24.278,114.278,18.633,22
XO,LA29,209.307,299.307,11.006,17
XO,LA30,281.254,371.254,37.218,5
XO,LA32,184.386,274.386,14.492,15
XO,LA33,142.234,232.234,10.598,83
XO,LA34,129.445,219.445,12.423,53
XO,LA39,110.617,200.617,15.089,34
XO,LD35,71.37,161.37,12345,1
XO,LD36,281.763,11.763,24.615,16
XO,LD38,317.493,47.493,14.552,10
XO,LD40,201.229,291.229,16.337,21
XO,LD41,5.017,95.017,10.492,75
XO,LD44,198.503,288.503,10.082,28
XO,LD45,292.713,22.713,14.28,29
XO,LT01,166.771,256.771,67.067,29
XO,LT02,320.498,50.498,15.542,42
XO,LT04,236.408,326.408,33.922,26
XO,LT07,148.733,238.733,16.145,40
XO,LT08,129.111,219.111,9.392,3
XO,LT09,191.146,281.146,60.29,14
XO,LT10,54.162,144.162,71.998,90
XO,LT11,342.786,72.786,28.147,78
XO,LT12,226.329,316.329,84.736,225
XO,LT13,233.89,323.89,27.537,42
XO,LT15,355.739,85.739,33.211,43
XO,LT17,305.234,35.234,84.968,258
XO,LT20,224.216,314.216,80.062,76
XO,WD48,107.94,197.94,14.3,26
XO,WD49,116.829,206.829,8.412,68
XO,WD50,215.286,305.286,11.231,73
XO,WD51,78.984,168.984,14.288,98
XO,WD52,334.922,64.922,22.451,49
XO,WD53,228.374,318.374,8.604,87
XO,WD54,114.712,204.712,24.43,16
XO,WD55,124.988,214.988,11.681,10
XO,WD56,52.861,142.861,18.351,2
XO,WD57,28.155,118.155,8.95,95
XO,WD58,292.422,382.422,8.476,67
XO,WD59,240.487,330.487,8.329,55
XO,WD60,260.53,350.53,11.553,128
XO,WD61,193.008,283.008,13.825,39
XO,WD62,189.525,279.525,14.298,58
XO,WD65,352.295,82.295,14.291,88
XO,WD66,11.217,101.217,11.899,96
XO,WD67,134.073,224.073,14.763,103
XO,WD68,250.916,340.916,11.625,101
XO,WD69,69.939,159.939,25.185,46
XO,WD70,117.889,207.889,11.104,30
XO,WS71,257.942,347.942,15.635,21
XO,WS72,137.432,227.432,8.647,10
XO,WS74,328.5,58.5,12.869,21
XO,WS75,113.305,203.305,18.337,43